ID;Data;Produto;Quantidade;Vendedor;Origem;País;Método_Transporte;Data_Entrega;Total
1;13/02/2023;banana;461;Vendedor 25;Quinta dos Pinhais;Brasil;Caminhão;15/03/2023;0
2;17/08/2022;limão;767;Vendedor 15;Fazenda Luz da Lua;Brasil;Caminhão;27/08/2022;1727
3;30/05/2023;limão;57;Vendedor 16;Fazenda Luz da Lua;Brasil;Barco;03/07/2023;2264
4;14/07/2022;banana;596;Vendedor 43;Recanto Verde;Brasil;Barco;05/08/2022;0
5;03/05/2022;limão;754;Vendedor 41;Fazenda Luz da Lua;Brasil;Caminhão;16/05/2022;0
6;27/11/2023;banana;913;Vendedor 7;Recanto Verde;Brasil;Caminhão;16/12/2023;1392
7;14/11/2022;uva;471;Vendedor 6;Sítio Águas Claras;Brasil;Caminhão;18/12/2022;2740
8;04/01/2022;limão;342;Vendedor 39;Fazenda Luz da Lua;Brasil;Caminhão;05/02/2022;1514
9;27/10/2022;limão;462;Vendedor 45;Fazenda Luz da Lua;Brasil;Caminhão;30/11/2022;2570
10;09/05/2023;limão;58;Vendedor 48;Fazenda Luz da Lua;Brasil;Caminhão;30/05/2023;260
11;17/10/2023;uva;484;Vendedor 41;Refúgio do Vale;Brasil;Avião;02/11/2023;1809
12;18/11/2023;limão;89;Vendedor 26;Fazenda Luz da Lua;Brasil;Caminhão;11/12/2023;0
13;21/06/2023;maçã;854;Vendedor 23;Chácara Bela Vista;Brasil;Avião;02/07/2023;2920
14;24/02/2023;uva;128;Vendedor 38;Sítio Águas Claras;Brasil;Avião;17/03/2023;0
15;13/07/2022;banana;595;Vendedor 49;Quinta dos Pinhais;Brasil;Caminhão;27/07/2022;202
16;21/12/2022;maçã;48;Vendedor 42;Chácara Bela Vista;Brasil;Caminhão;12/01/2023;1050
17;18/05/2023;limão;311;Vendedor 29;Fazenda Luz da Lua;Brasil;Avião;26/05/2023;2238
18;12/10/2023;uva;874;Vendedor 4;Refúgio do Vale;Brasil;Barco;11/11/2023;1736
19;05/06/2022;limão;218;Vendedor 45;Fazenda Luz da Lua;Brasil;Caminhão;06/07/2022;1741
20;25/12/2023;uva;282;Vendedor 20;Sítio Águas Claras;Brasil;Caminhão;22/01/2024;0
21;04/04/2022;limão;218;Vendedor 23;Fazenda Luz da Lua;Brasil;Avião;15/04/2022;0
22;16/01/2022;maçã;322;Vendedor 46;Chácara Bela Vista;Brasil;Caminhão;17/02/2022;1801
23;07/11/2023;limão;657;Vendedor 32;Fazenda Luz da Lua;Brasil;Barco;12/11/2023;133
24;22/11/2023;uva;404;Vendedor 38;Refúgio do Vale;Brasil;Avião;02/12/2023;3152
25;14/05/2022;limão;975;Vendedor 35;Fazenda Luz da Lua;Brasil;Caminhão;03/06/2022;2806
26;23/01/2023;maçã;55;Vendedor 11;Terra Prometida;Brasil;Trem;07/02/2023;100
27;22/01/2022;maçã;565;Vendedor 31;Terra Prometida;Brasil;Caminhão;19/02/2022;1521
28;05/06/2022;uva;646;Vendedor 30;Refúgio do Vale;Brasil;Caminhão;28/06/2022;0
29;08/05/2023;maçã;213;Vendedor 31;Chácara Bela Vista;Brasil;Caminhão;04/06/2023;0
30;27/12/2022;manga;809;Vendedor 30;Fazenda Sol Nascente;Brasil;Caminhão;12/01/2023;3183
31;27/12/2023;maçã;893;Vendedor 23;Chácara Bela Vista;Brasil;Caminhão;03/01/2024;0
32;03/09/2022;laranja;724;Vendedor 12;Recanto Verde;Brasil;Caminhão;09/09/2022;1309
33;08/06/2023;manga;504;Vendedor 26;Rancho Estrela Cadente;Brasil;Barco;10/07/2023;1513
34;05/11/2022;manga;454;Vendedor 46;Fazenda Sol Nascente;Brasil;Caminhão;17/11/2022;0
35;12/07/2022;limão;185;Vendedor 47;Fazenda Luz da Lua;Brasil;Caminhão;02/08/2022;1971
