Operação,Tipo,No. Invoice,Incoterm,Origem,ID País Destino,Local Destino,ID Operador Logístico,Doc. Embarque (AWB / BL),Peso (kg),Volume (cbm),Tipo de serviço,Data da Coleta,Data da Entrega,Prazo Realizado,Prazo Contratado,Cód. Exceção
Importação,Marítimo ,989690,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.232,291.0,2.952,STANDARD,29/12/2023,29/01/2024,31,31,
Importação,Marítimo ,989693,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.235,186.0,2.952,STANDARD,07/10/2023,05/11/2023,29,29,
Importação,Marítimo ,989694,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.236,121.0,0.984,STANDARD,29/09/2023,28/10/2023,29,29,
Importação,Marítimo ,989695,EXW,IT-Italy,BR,Santos,4089,0010-9249-802.237,194.0,1.968,STANDARD,01/07/2023,30/07/2023,29,29,
Importação,Marítimo ,989696,EXW,IT-Italy,BR,Santos,4089,0010-9249-802.238,122.0,2.952,STANDARD,30/09/2023,01/11/2023,32,25,
Importação,Marítimo ,989697,EXW,IT-Italy,BR,Santos,4089,0010-9249-802.239,367.0,2.952,STANDARD,25/04/2023,24/05/2023,29,25,
Importação,Marítimo ,989698,EXW,IT-Italy,BR,Santos,4089,0010-9249-802.240,623.0,2.952,STANDARD,02/07/2023,31/07/2023,29,29,
Importação,Marítimo ,989699,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.241,344.0,2.952,STANDARD,05/12/2023,03/01/2024,29,29,
Importação,Marítimo ,989700,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.242,412.0,2.952,STANDARD,05/12/2023,12/01/2024,38,29,
Importação,Marítimo ,989701,EXW,IE-Ireland,BR,Santos,4089,0010-9249-802.243,374.0,2.952,STANDARD,11/06/2023,18/07/2023,37,29,
Importação,Marítimo ,989702,EXW,IE-Ireland,BR,Santos,4089,0010-9249-802.244,286.0,2.952,STANDARD,24/03/2023,22/04/2023,29,29,
Importação,Marítimo ,989703,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.245,504.0,1.968,STANDARD,11/08/2023,09/09/2023,29,29,
Importação,Marítimo ,989704,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.246,281.0,2.952,STANDARD,19/09/2023,18/10/2023,29,29,
Importação,Marítimo ,989705,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.247,348.0,2.952,STANDARD,11/03/2023,09/04/2023,29,29,
Importação,Marítimo ,989706,EXW,PT-Portugal,BR,Santos,4089,0010-9249-802.248,184.0,2.952,STANDARD,29/11/2023,28/12/2023,29,29,E05
Importação,Marítimo ,989707,EXW,PT-Portugal,BR,Santos,4089,0010-9249-802.249,472.0,2.952,STANDARD,02/12/2023,31/12/2023,29,29,
Importação,Marítimo ,989708,EXW,PT-Portugal,BR,Santos,4089,0010-9249-802.250,497.0,2.952,STANDARD,24/02/2023,25/03/2023,29,29,
Importação,Marítimo ,989709,EXW,PT-Portugal,BR,Santos,4089,0010-9249-802.251,416.0,2.952,STANDARD,02/11/2023,01/12/2023,29,29,
Importação,Marítimo ,989710,EXW,PT-Portugal,BR,Santos,4089,0010-9249-802.252,219.0,1.968,STANDARD,22/06/2023,21/07/2023,29,29,
Importação,Marítimo ,989711,EXW,PT-Portugal,BR,Santos,4089,0010-9249-802.253,272.0,2.952,STANDARD,05/03/2023,03/04/2023,29,29,
Importação,Marítimo ,989712,EXW,PT-Portugal,BR,Santos,4089,0010-9249-802.254,109.0,2.952,STANDARD,02/01/2023,31/01/2023,29,29,
Importação,Marítimo ,989713,EXW,PT-Portugal,BR,Santos,4089,0010-9249-802.255,387.0,2.952,STANDARD,14/12/2023,12/01/2024,29,29,
Importação,Marítimo ,989714,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.256,524.0,2.952,STANDARD,14/02/2023,15/03/2023,29,29,
Importação,Marítimo ,989715,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.257,324.0,1.968,STANDARD,07/04/2023,06/05/2023,29,29,
Importação,Marítimo ,989716,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.258,323.0,2.952,STANDARD,04/02/2023,05/03/2023,29,29,
Importação,Marítimo ,989717,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.259,545.0,1.968,STANDARD,09/02/2023,10/03/2023,29,29,
Importação,Marítimo ,989718,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.260,622.0,2.952,STANDARD,10/10/2023,08/11/2023,29,29,
Importação,Marítimo ,989719,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.261,329.0,2.952,STANDARD,19/01/2023,24/02/2023,36,29,
Importação,Marítimo ,989720,EXW,IE-Ireland,BR,Santos,4089,0010-9249-802.262,122.0,2.952,STANDARD,02/04/2023,05/05/2023,33,29,
Importação,Marítimo ,989721,EXW,IE-Ireland,BR,Santos,4089,0010-9249-802.263,498.0,2.952,STANDARD,26/02/2023,27/03/2023,29,29,
Importação,Marítimo ,989722,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.264,605.0,2.952,STANDARD,21/02/2023,22/03/2023,29,29,
Importação,Marítimo ,989723,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.265,157.0,2.952,STANDARD,03/06/2023,02/07/2023,29,29,
Importação,Marítimo ,989724,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.266,428.0,2.952,STANDARD,20/02/2023,21/03/2023,29,29,
Importação,Marítimo ,989725,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.267,498.0,2.952,STANDARD,01/09/2023,30/09/2023,29,29,
Importação,Marítimo ,989726,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.268,531.0,2.952,STANDARD,20/12/2023,18/01/2024,29,29,
Importação,Marítimo ,989727,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.269,429.0,2.952,STANDARD,12/06/2023,11/07/2023,29,29,
Importação,Marítimo ,989728,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.270,329.0,2.952,STANDARD,09/10/2023,07/11/2023,29,29,
Importação,Marítimo ,989729,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.271,387.0,2.952,STANDARD,08/12/2023,11/01/2024,34,29,
Importação,Marítimo ,989730,EXW,DE-Germany,BR,Santos,4089,0010-9249-802.272,225.0,2.952,STANDARD,11/12/2023,09/01/2024,29,29,
